Mean_Acc1298_Mean_Mem40_Rolloff numeric,Mean_Acc1298_Mean_Mem40_MFCC_0 numeric,Std_Acc1298_Mean_Mem40_MFCC_11 numeric,Mean_Acc1298_Mean_Mem40_MFCC_1 numeric,Mean_Acc1298_Mean_Mem40_Centroid numeric,Std_Acc1298_Mean_Mem40_MFCC_10 numeric,Std_Acc1298_Mean_Mem40_MFCC_8 numeric,Std_Acc1298_Mean_Mem40_MFCC_12 numeric,Std_Acc1298_Mean_Mem40_MFCC_0 numeric,Mean_Acc1298_Std_Mem40_Centroid numeric,Std_Acc1298_Std_Mem40_MFCC_10 numeric,Std_Acc1298_Std_Mem40_MFCC_11 numeric,Std_Acc1298_Mean_Mem40_MFCC_7 numeric,Std_Acc1298_Std_Mem40_MFCC_1 numeric,Std_Acc1298_Std_Mem40_MFCC_8 numeric,Mean_Acc1298_Mean_Mem40_Flux numeric,Std_Acc1298_Mean_Mem40_MFCC_9 numeric,Std_Acc1298_Std_Mem40_MFCC_7 numeric,Std_Acc1298_Std_Mem40_MFCC_9 numeric,Std_Acc1298_Std_Mem40_MFCC_6 numeric,Mean_Acc1298_Std_Mem40_Rolloff numeric,Std_Acc1298_Std_Mem40_Centroid numeric,Std_Acc1298_Std_Mem40_MFCC_12 numeric,Std_Acc1298_Std_Mem40_MFCC_4 numeric,Std_Acc1298_Mean_Mem40_MFCC_5 numeric,Std_Acc1298_Mean_Mem40_MFCC_4 numeric,Std_Acc1298_Mean_Mem40_MFCC_2 numeric,Std_Acc1298_Mean_Mem40_MFCC_6 numeric,Std_Acc1298_Mean_Mem40_MFCC_1 numeric,Mean_Acc1298_Std_Mem40_MFCC_9 numeric,Mean_Acc1298_Std_Mem40_MFCC_4 numeric,BHSUM3 numeric,Std_Acc1298_Std_Mem40_MFCC_2 numeric,Std_Acc1298_Std_Mem40_MFCC_3 numeric,BH_LowPeakAmp numeric,Std_Acc1298_Std_Mem40_Rolloff numeric,Std_Acc1298_Mean_Mem40_MFCC_3 numeric,Mean_Acc1298_Mean_Mem40_MFCC_4 numeric,Mean_Acc1298_Std_Mem40_MFCC_7 numeric,BH_HighPeakAmp numeric,BHSUM1 numeric,Mean_Acc1298_Std_Mem40_MFCC_12 numeric,Mean_Acc1298_Std_Mem40_MFCC_3 numeric,Mean_Acc1298_Std_Mem40_MFCC_0 numeric,Std_Acc1298_Mean_Mem40_Centroid numeric,amazed-suprised,happy-pleased,relaxing-calm,quiet-still,sad-lonely,angry-aggresive 
0.089665,-73.302422,0.321896,6.215179,0.034741,0.210613,0.345401,0.290551,8.156257,0.028851,0.100517,0.11863,0.231439,0.536378,0.13602,0.091225,0.285389,0.115849,0.110514,0.168246,0.129039,0.022774,0.094923,0.1758,0.279947,0.399568,0.624711,0.314215,1.077167,0.509149,0.764163,0.405399,0.296306,0.27321,0.051035,0.095801,0.810244,0.804065,0.510265,0.014937,0.245457,0.463535,1.051511,5.762173,0.013519,0,1,1,0,0,0
0.272747,-62.584437,0.128202,3.183163,0.081374,0.12558,0.178703,0.107007,1.243981,0.066288,0.067684,0.070075,0.14408,0.38236,0.059457,0.085733,0.146937,0.059393,0.053439,0.057991,0.26237,0.020028,0.041565,0.098341,0.168601,0.205087,0.252972,0.178009,0.82979,0.483166,0.511229,0.710924,0.168389,0.117525,0.295031,0.06694,0.347831,0.620251,0.480916,0.276366,0.343547,0.405593,0.804444,3.480874,0.013621,1,0,0,0,0,1
0.273567,-65.235325,0.191804,2.794964,0.110545,0.273855,0.22732,0.198025,2.759906,0.082743,0.100852,0.079917,0.479889,0.430373,0.09065,0.08441,0.296224,0.109279,0.117886,0.139323,0.215373,0.038119,0.085821,0.184333,0.281181,0.589827,0.761852,0.437752,0.592634,0.562622,0.780572,0.457372,0.172862,0.177523,0.161574,0.065427,0.56874,0.757896,0.573309,0,0.188693,0.455562,0.909222,4.834742,0.029112,0,1,0,0,0,1
0.199281,-80.305152,0.274257,5.824409,0.042481,0.359477,0.324934,0.233287,3.992357,0.049939,0.112815,0.129145,0.308447,0.461304,0.167114,0.093447,0.263444,0.155513,0.113774,0.124399,0.281616,0.032678,0.12233,0.142805,0.530714,0.378919,0.927692,0.317807,0.656429,0.577976,0.710955,0.351009,0.280751,0.246108,0.043012,0.11948,0.569916,1.495532,0.688825,0.206562,0.102839,0.495368,0.986178,6.719538,0.020749,0,0,1,0,0,0
0.14088,-93.697749,0.637971,5.543229,0.07455,0.524291,0.61676,0.63796,7.71314,0.035751,0.265049,0.284196,0.6062,0.551937,0.329188,0.079789,0.596926,0.222804,0.251668,0.142092,0.085592,0.036151,0.189988,0.175855,0.52442,0.565654,1.02719,0.554501,1.592642,0.648611,0.63966,0.683817,0.257562,0.15995,0.029308,0.087741,0.591399,0.890336,0.584705,0.144039,0.195196,0.578063,0.634988,4.755293,0.047014,0,0,0,1,0,0
0.110653,-69.792637,0.308208,6.598383,0.052434,0.355348,0.473474,0.340781,3.835748,0.0611,0.082887,0.110493,0.508029,0.443698,0.123337,0.09677,0.459661,0.129451,0.151916,0.098063,0.18247,0.037052,0.072176,0.154298,0.420713,0.396785,0.808127,0.542216,0.769825,0.515551,0.743446,0.649594,0.346999,0.277305,0.218684,0.075122,0.560954,0.503222,0.607789,0.05387,0.403684,0.467567,0.903827,5.414537,0.017641,0,1,1,0,0,0
0.147375,-68.698041,0.258205,4.052059,0.064067,0.216797,0.177046,0.18109,2.713319,0.036757,0.078946,0.09447,0.201635,0.291206,0.078375,0.078124,0.182256,0.066714,0.067474,0.085498,0.120716,0.024036,0.113727,0.10201,0.182622,0.271894,0.619237,0.2211,0.424945,0.427923,0.562143,1.182908,0.182281,0.159225,0.167898,0.051788,0.336648,0.531396,0.476279,0.358269,0.755628,0.455837,0.607092,3.813653,0.019871,1,1,0,0,0,0
0.092085,-68.406051,0.197081,4.552287,0.044949,0.128118,0.246134,0.157612,2.278805,0.037329,0.081464,0.081107,0.233755,0.376434,0.105881,0.097908,0.193811,0.148467,0.11271,0.116184,0.129705,0.035572,0.071943,0.2602,0.263973,0.405403,0.377787,0.279862,0.584095,0.544174,1.011066,0.329783,0.2297,0.237802,0.037882,0.068647,0.433472,1.490264,0.648638,0.059756,0.23707,0.464623,1.095826,5.843585,0.02144,0,0,0,0,0,1
0.302058,-76.209068,0.173602,2.419066,0.081354,0.146949,0.136194,0.145579,2.486091,0.087255,0.060114,0.076139,0.121507,0.223277,0.068104,0.09724,0.155098,0.079447,0.08977,0.061956,0.327868,0.019922,0.103849,0.118775,0.217095,0.194697,0.437824,0.107007,0.392817,0.502584,0.716019,2.335258,0.164591,0.181582,0.78087,0.03042,0.416101,1.077603,0.464374,1.156114,1.131073,0.453966,0.81849,6.512197,0.018392,1,1,0,0,0,0
0.056986,-83.146547,0.309596,11.224703,0.039819,0.33531,0.470132,0.288299,5.209001,0.010135,0.185677,0.114503,0.393988,0.704132,0.15968,0.073635,0.247319,0.137304,0.147272,0.14627,0.019275,0.028101,0.084013,0.135988,0.277937,0.47551,1.036365,0.409208,1.18906,0.380613,0.487018,0.248702,0.253414,0.181521,0.025843,0.061662,0.420646,0.940606,0.415611,0,0.084776,0.368378,0.491714,3.299295,0.014836,0,0,1,1,1,0
